1,0.21069,2.1691,9.1749
2,-0.95289,2.0566,9.1988
3,-0.6608,2.1093,9.771
4,-0.040701,1.6951,10.353
5,0.56743,1.8603,10.238
6,0.77572,1.9513,9.7591
7,-0.26336,1.8196,9.0264
8,-1.221,1.7502,9.2371
9,-1.8148,1.4293,10.631
10,-0.97444,1.3503,11.299
11,0.011971,1.4748,10.738
12,-0.13407,1.6305,10.121
13,-0.62489,1.6352,9.3999
14,-0.84755,1.5634,9.0719
15,-0.79727,1.6281,8.866
16,-0.76854,1.7095,9.3066
17,-0.73741,1.7621,9.9698
18,-0.63446,1.6352,9.8955
19,-0.50039,1.5826,9.5364
20,-0.38547,1.6089,9.2683
21,-0.15323,1.7861,9.3664
22,-0.26576,1.6903,9.5101
23,-0.44772,1.7166,9.4861
24,-0.31604,1.7957,9.4742
25,-0.28012,1.6951,9.7615
26,-0.09098,1.5897,9.7255
27,0.093374,1.5706,9.3281
28,-0.035913,1.5467,9.1078
29,-0.34476,1.5826,9.3544
30,-0.29688,1.5467,9.6298
31,-0.086191,1.3479,9.941
32,0.064643,1.2737,9.9219
33,0.43335,1.7142,10.006
34,0.038307,1.7047,9.6394
35,-0.1245,1.7095,9.2611
36,-0.026336,1.7166,9.7327
37,0.002394,1.7262,9.637
38,-0.28491,1.8818,9.1749
39,-0.57461,2.071,9.1246
40,-0.35913,1.9704,9.6801
41,0.17957,1.6568,10.271
42,0.32801,1.6065,10.013
43,-0.057461,1.7382,9.1102
44,-0.50278,1.8579,8.6673
45,-0.48363,1.8028,9.4885
46,-0.10534,1.7071,10.082
47,0.20351,1.549,10.003
48,0.2059,1.6281,9.613
49,-0.69192,1.822,8.9618
50,-0.79009,1.9393,8.969
51,-0.27294,1.7454,9.6417
52,0.1221,1.7023,9.8093
53,0.15562,1.7095,9.8046
54,-0.002394,1.7214,9.8333
55,-0.32801,1.7765,9.3425
56,-0.15802,1.8052,9.127
57,-0.04549,1.7358,9.7902
58,-0.11732,1.6951,10.295
59,-0.14365,1.5921,10.35
60,-0.15323,1.6113,9.8644
61,-0.25139,1.7358,8.7463
62,-0.31125,1.8675,8.8684
63,-0.035913,1.7765,9.7591
64,0.057461,1.719,10.037
65,-0.050278,1.719,9.7375
66,-0.086191,1.6783,9.4167
67,-0.30167,1.7071,9.1629
68,-0.31364,1.7119,9.1797
69,0.004788,1.6831,9.3951
70,-0.011971,1.6281,9.558
71,0.007183,1.5993,9.625
72,0.047884,1.6209,9.6082
73,-0.14126,1.6544,9.4358
74,-0.24181,1.7095,9.4646
75,-0.12929,1.6807,9.7734
76,-0.050278,1.7071,9.8548
77,-0.038307,1.6927,9.5939
78,0.016759,1.6616,9.6322
79,-0.09098,1.6712,9.771
80,-0.14365,1.6352,9.8979
81,-0.11013,1.6592,9.8237
82,-0.1221,1.6999,9.6202
83,-0.13886,1.7573,9.5292
84,-0.076614,1.7741,9.5053
85,-0.14126,1.7047,9.4454
86,-0.11971,1.6568,9.4622
87,-0.13886,1.6807,9.3568
88,-0.1652,1.7526,9.5675
89,-0.18914,1.7502,9.783
90,-0.069432,1.7214,9.7088
91,0.021548,1.6424,9.3951
92,-0.040701,1.6927,9.3592
93,-0.16999,1.6903,9.4646
94,-0.11013,1.7358,9.5173
